Symbol	Description
IVN	Ivanhoe Mines Ltd
IVQ	Invesque Inc CAD
JAG	Jaguar Mining Inc
JOSE	Josemaria Resources Inc
JOY	Journey Energy Inc
JWEL	Jamieson Wellness Inc
K	Kinross Gold Corp
KBL	Kbro Linen Inc
KEI	Kolibri Global Energy Inc
KEL	Kelt Exploration Ltd
KEY	Keyera Corp
KILO	Purp Gold Bullion Tu
KITS	Kits Eyecare Ltd
KL	Kirkland Lake Gold Ltd
KLS	Kelso Technologies Inc
KNT	K92 Mining Inc
KOR	Corvus Gold Inc
KPT	Kp Tissue Inc
KRN	Karnalyte Resources Inc
KRR	Karora Resources Inc.
KXS	Kinaxis Inc
L	Loblaw CO
LABS	Medipharm Labs Corp
LAC	Lithium Americas Corp
LAM	Laramide Resources Ltd
LB	Laurentian Bank
LBS	Life & Banc Split Corp
LCS	Brompton Lifeco Split Corp Class A
LEAF	Leaf Mobile Inc
LEV	Lion Electric CO [The]
LFE	Canadian Life Companies Split Corp
LGD	Liberty Gold Corp
LGO	Largo Resources Ltd
LIF	Labrador Iron Ore Royalty Corp
LN	Loncor Gold Inc
LNF	Leons Furniture
LNR	Linamar Corp
LOCL	Freshlocal Solutions Inc
LPEN	Loop Energy Inc
LSPD	Lightspeed Pos Inc
LSPK	Lifespeak Inc
LUC	Lucara Diamond Corp
LUG	Lundin Gold Inc
LUN	Lundin Mining Corp
LWRK	Lifeworks Inc
LXR	Lxrandco Inc
MAG	MAG Silver Corp
MAGT	Magnet Forensics Inc
MAL	Magellan Aero
MARI	Marimaca Copper Corp
MAV	Mav Beauty Brands Inc
MAW	Mawson Resources Ltd
MAXR	Maxar Technologies Inc
MBA	Cibt Education Group Inc
MBCN	Mindbeacon Holdings Inc
MBN	Mbn Corp
MBX	Microbix J
MCB	Mccoy Global Inc
MDA	Mda Ltd
MDF	Mdf Commerce Inc.
MDI	Major Drilling Grp
MDNA	Medicenna Therapeutics Corp
MDP	Medexus Pharmaceuticals Inc
ME	Moneta Porcupine J
MEG	Meg Energy Corp
MEQ	Mainstreet Eq J
MFC	Manulife Fin
MFI	Maple Leaf Foods
MG	Magna International Inc
MGA	Mega Uranium Ltd
MIN	Excelsior Mining Corp
MKP	Mcan Mortgage Corp
MMX	Maverix Metals Inc
MND	Mandalay Resources Corp
MNS	Royal CDN Mint CDN Silver Reserves Etr
MNT	Royal Canadian Mint CDN Gold Reserves
MOGO	Mogo Inc
MOZ	Marathon Gold Corp
MPC	Madison Pac Cl B
MPVD	Mountain Province Diamonds Inc
MRC	Morguard Corp
MRD	Melcor Dev
MRE	Martinrea International Inc
MRU	Metro Inc
MRV	Nuvo Pharmaceuticals Inc
MSV	Minco Silver Corp
MTL	Mullen Group Ltd
MTY	Mty Food Group Inc
MUX	Mcewen Mining Inc
MVP	Mediavalet Inc
MX	Methanex Corp
MXG	Maxim Power Corp
NA	National Bank of Canada
NANO	Nano One Materials Corp
NB	Niocorp Developments Ltd
NBLY	Neighbourly Pharmacy Inc
NCF	Northcliff Resources Ltd
NCM	Newcrest Mining Limited
NCP	Nickel Creek Platinum Corp
NCU	Nevada Copper Corp
NDM	Northern Dynasty Minerals Ltd
NEO	NEO Performance Materials Inc
NEPT	Neptune Wellness Solutions Inc
NEXA	Nexa Resources S.A.
NEXT	Nextsource Materials Inc
NFI	New Flyer Industries Inc
NG	Novagold Res Inc
NGD	New Gold Inc
NGT	Newmont Corp.
NHK	Nighthawk Gold Corp
NOA	North American Construction Group Ltd.
NOVC	Nova Cannabis Inc
NPI	Northland Power Inc
NPK	Verde Agritech Plc
NSR	Nomad Royalty Company Ltd.
NTR	Nutrien Ltd
NUAG	New Pacific Metals Corp
NVA	Nuvista Energy Ltd
NVCN	Neovasc Inc
NVEI	Nuvei Corporation
NVO	Novo Resources Corp
NWC	The North West Company Inc
NXE	Nexgen Energy Ltd
NXJ	Nexj Systems Inc
NZC	Norzinc Ltd
OBE	Obsidian Energy Ltd
OGC	Oceanagold Corp
OGD	Orbit Garant Drilling Inc
OGI	Organigram Holdings Inc
OLA	Orla Mining Ltd
OLY	Olympia Financial Group Inc
OMI	Orosur Mining Inc
ONC	Oncolytics Bio
ONEX	Onex Corp
OPS	Opsens Inc
OPT	Optiva Inc
OR	Osisko Gold Royalties Ltd
ORA	Aura Minerals Inc
OREA	Orea Mining Corp
ORL	Orocobre Limited
ORV	Orvana Minerals J
OSK	Osisko Mining Inc
OSP	Brompton Oil Split Corp
OTEX	Open Text Corp
OVV	Ovintiv Inc
PAAS	Pan American Silver Corp
PAT	Patriot One Technologies Inc
PAY	Payfare Inc
PBH	Premium Brands Holdings Corp
PBL	Pollard Banknote Limited
PD	Precision Drilling Corp
PDV	Prime Dividend Corp Cl A
PEA	Pieridae Energy Ltd
PET	Pet Valu Holdings Ltd
PEY	Peyto Exploration and Dvlpmnt Corp
PFB	Pfb Corp
PFSS	Picton Mahoney Fort Special Sit Alt Fund
PHO	Photon Control Inc
PHX	Phx Energy Services Corp
PHYS	Sprott Physical Gold Trust CAD
PIF	Polaris Infrastructure Inc
PINC	Purpose Multi Asset Income Fund
PINV	Purpose Global Innovators Fund
PIPE	Pipestone Energy Corp
PKI	Parkland Fuel Corp
PLC	Park Lawn Corp
PME	Sentry Select Primary Metals Corp
PMIF	Pimco Monthly Income Fund
PMM	Purpose Multi Strategy Mkt Neutral Fund
PMN	Promis Neurosciences Inc
PMT	Perpetual Energy Inc
PMTS	CPI Card Group Inc
PNE	Pine Cliff Energy Ltd
PNP	Pinetree Capital Ltd
POM	Polymet Mining Corp
POU	Paramount Resources Ltd
POW	Power Corporation of Canada Sv
PPL	Pembina Pipeline Corp
PPR	Prairie Provident Resources Inc
PPTA	Perpetua Resources Corp
PREF	Evolve Dvdnd Stblt Prf Sh Indx E
PRM	Big Pharma Split Corp
PRMW	Primo Water Corporation
PRN	Profound Medical Corp
PRQ	Petrus Resources Ltd
PRU	Perseus Mining Limited
PSD	Pulse Seismic Inc
PSI	Pason Systems Inc
PSK	Prairiesky Royalty Ltd
PSLV	Sprott Physical Silver Trust CAD
PTM	Platinum Group Metals Ltd
PTS	Points International Ltd
PVG	Pretium Resources Inc
PWI	Sustainable Power Infra Split Corp Cl A
PXT	Parex Resources Inc
PYR	Pyrogenesis Canada Inc
PZA	Pizza Pizza Royalty Corp
QAH	Mackenzie US Large Cap Eqty Idx CAD Hgd
QBTC	The Bitcoin Fund CAD
QEC	Questerre Energy Corp
QSR	Restaurant Brands International Inc
QTRH	Quarterhill Inc
QUIG	Mackenzie US Inv Grd Corp Bd Idx CAD Hgd
RBA	Ritchie Bros Auctioneers Inc
RCG	RF Capital Group Inc
RCH	Richelieu Hardware Ltd
RDL	Redline Communications Group Inc
REAL	Real Matters Inc
RECP	Recipe Unlimited Corp
RFP	Resolute Forest Products Inc
RIV	Canopy Rivers Inc
RNW	Transalta Renewables Inc
ROOT	Roots Corporation
ROXG	Roxgold Inc
RS	Real Estate and Ecommerce Split Corp
RSI	Rogers Sugar Inc
RTG	Rtg Mining Inc
RUS	Russel Metals
RVX	Resverlogix Corp
RY	Royal Bank of Canada
S	Sherritt Intl Rv
SAM	Starcore International Mines Ltd
SAP	Saputo Inc
SAU	ST Augustine Gold and Copper Ltd
SBB	Sabina Gold and Silver Corp
SBC	Brompton Split Banc Corp Cl A
SBI	Serabi Gold Plc
SBN	S Split Corp Cl.A
SBR	Silver Bear Resources Plc
SCL	Shawcor Ltd
SCR	Score Media and Gaming Inc
SCY	Scandium International Mining Corp
SEA	Seabridge Gold Inc
SEC	Senvest Capital
SES	Secure Energy Services Inc
SFC	Sagicor Financial Company Ltd
SFD	Nxt Energy Solutions Inc
SFTC	Softchoice Corporation
SGQ	Southgobi Resources Ltd
SGY	Surge Energy Inc
SHLE	Source Energy Services Ltd
SHOP	Shopify Inc
SIA	Sienna Senior Living Inc
SII	Sprott Inc
SIL	Silvercrest Metals Inc
SIS	Savaria Corp
SJ	Stella Jones Inc
SKE	Skeena Resources Limited
SLF	Sun Life Financial Inc
SLR	Solitario Zinc Corp
SLS	Solaris Resources Inc
SMA	Standard Mercantile Acq Corp
SMC	Sulliden Mining Capital Inc
SMT	Sierra Metals Inc
SNC	Snc-Lavalin Sv
SOLG	Solgold Plc
SOY	Sunopta Inc
SPB	Superior Plus Corp
SPG	Spark Power Group Inc
SPPP	Sprott Physical Platinum Palladium CAD
SRX	Storm Resources Ltd
SSL	Sandstorm Gold Ltd
SSRM	Ssr Mining Inc
STCK	Stack Capital Group Inc
STEP	Step Energy Services Ltd
STGO	Steppe Gold Ltd
STLC	Stelco Holdings Inc
STN	Stantec Inc
SU	Suncor Energy Inc
SVB	Silver Bull Resources Inc
SVM	Silvercorp Metals Inc
SW	Sierra Wireless
SWP	Swiss Water Decaffeinated Coffee Inc
SXI	Synex Intl J
SXP	Supremex Inc
SYLD	Purpose Strategic Yield Fund
SYZ	Sylogist Ltd
SZLS	Stagezero Life Sciences Ltd.
T	Telus Corp
TA	Transalta Corp
TAIG	Taiga Motors Corp
TBL	Taiga Building Products Ltd
TBP	Tetra Bio Pharma Inc
TC	Tucows Inc
TCN	Tricon Capital Group Inc
TCS	Tecsys Inc J
TCSB	TD Select Short Term Corporate Bond Ladd
TCW	Trican Well
TD	Toronto-Dominion Bank
TEV	Tervita Corporation
TF	Timbercreek Financial Corp
TFII	Tfi International Inc
TFPM	Triple Flag Precious Metals Corp
TGL	Transglobe Energy Corp
TGO	Terago Inc
TGOD	The Green Organic Dutchman Holdings Ltd
TH	Theratechnologies
THNC	Thinkific Labs Inc
TI	Titan Mining Corporation
TIH	Toromont Ind
TIXT	Telus International [Cda] Inc
TKO	Taseko Mines Ltd
TLG	Troilus Gold Corp
TLO	Talon Metals Corp
TLRY	Tilray Inc
TMD	Titan Medical Inc
TML	Treasury Metals Inc
